id,fullName,primaryNumber,birthDate,currentAge,nationality,height,weight,shootsCatches,currentTeam,primaryPosition
8469500,Michael Cammalleri,14,1982-06-08,37,CAN,"5' 9""",185,L,Los Angeles Kings,C
8476471,Mark McNeill,,1993-02-22,27,CAN,"6' 2""",214,R,Dallas Stars,C
8477213,Tim Schaller,59,1990-11-16,29,USA,"6' 2""",219,L,Boston Bruins,C
8475749,Christian Thomas,39,1992-05-26,,CAN,"5' 9""",175,R,Free Agent,LW
8474616,Patrice Cormier,28,1990-06-14,,CAN,"6' 2""",215,L,Free Agent,C
8471283,Brandon Prust,9,1984-03-16,,CAN,"6' 0""",195,L,Free Agent,LW
8468485,Raffi Torres,13,1981-10-08,,CAN,"6' 0""",215,L,Free Agent,LW
8477914,Roman Will,35,1992-05-22,,CZE,"6' 1""",195,L,Free Agent,G
8475598,Ryan Stanton,20,1989-07-20,30,CAN,"6' 2""",196,L,Edmonton Oilers,D
8471664,Mason Raymond,39,1985-09-17,,CAN,"6' 1""",179,L,Free Agent,LW
8477942,Kevin Fiala,56,1996-07-22,23,CHE,"5' 10""",193,L,Nashville Predators,LW
8477126,Jayson Megna,46,1990-02-01,30,USA,"6' 1""",195,R,Vancouver Canucks,C
8475119,Zach Sill,23,1988-05-24,31,CAN,"6' 0""",214,L,Washington Capitals,C
8474604,Aaron Ness,55,1990-05-18,29,USA,"5' 10""",184,L,Washington Capitals,D
8475661,Dave Dziurzynski,59,1989-10-06,,CAN,"6' 3""",224,L,Free Agent,LW
8476323,Max McCormick,89,1992-05-01,27,USA,"5' 11""",188,L,Ottawa Senators,RW
8471703,Steve Downie,17,1987-04-03,,CAN,"5' 11""",191,R,Free Agent,RW
8470207,Joffrey Lupul,19,1983-09-23,36,CAN,"6' 1""",211,R,Toronto Maple Leafs,LW
8476344,Tyler Graovac,91,1993-04-27,26,CAN,"6' 5""",208,L,Washington Capitals,C
8474008,Paul Carey,28,1988-09-24,31,USA,"6' 1""",200,L,New York Rangers,C
8475260,Corban Knight,53,1990-09-10,29,CAN,"6' 2""",195,R,Philadelphia Flyers,C
8473507,Jeff Petry,26,1987-12-09,32,USA,"6' 3""",208,R,Montréal Canadiens,D
8474091,Brandon Sutter,20,1989-02-14,31,CAN,"6' 3""",191,R,Vancouver Canucks,C
8471303,Alexander Edler,23,1986-04-21,33,SWE,"6' 3""",214,L,Vancouver Canucks,D
8476945,Connor Hellebuyck,37,1993-05-19,26,USA,"6' 4""",207,L,Winnipeg Jets,G
8475174,Jared Cowen,29,1991-01-25,,CAN,"6' 5""",238,L,Free Agent,D
8471774,Alex Stalock,32,1987-07-28,32,USA,"6' 0""",187,L,Minnesota Wild,G
8471403,Karri Ramo,31,1986-07-01,,FIN,"6' 2""",206,L,Free Agent,G
8468483,Marian Gaborik,12,1982-02-14,38,SVK,"6' 1""",205,L,Los Angeles Kings,RW
8474584,Michael Del Zotto,15,1990-06-24,29,CAN,"6' 0""",195,L,Vancouver Canucks,D
8475214,Jeremy Morin,33,1991-04-16,,USA,"6' 1""",195,R,Free Agent,LW
8469514,Peter Budaj,31,1982-09-18,37,SVK,"6' 1""",196,L,Tampa Bay Lightning,G
8473468,Eric Gryba,62,1988-04-14,32,CAN,"6' 4""",225,R,Edmonton Oilers,D
8470317,Nate Guenin,34,1982-12-10,,USA,"6' 3""",207,R,Free Agent,D
8471222,Ladislav Smid,15,1986-02-01,,CZE,"6' 4""",210,L,Free Agent,D
8470230,Daniel Paille,,1984-04-15,,CAN,"6' 1""",200,L,Free Agent,LW
8475756,John McFarland,45,1992-04-02,,CAN,"6' 0""",211,R,Free Agent,LW
8474698,Brent Regner,22,1989-05-17,30,CAN,"5' 11""",189,R,Dallas Stars,D
8474765,Anders Lindback,39,1988-05-03,31,SWE,"6' 6""",215,L,Nashville Predators,G
8472394,Peter Harrold,37,1983-06-08,,USA,"5' 11""",180,R,Free Agent,D
8476994,Vinnie Hinostroza,48,1994-04-03,26,USA,"5' 9""",173,R,Chicago Blackhawks,LW
8475836,Alex Friesen,53,1991-01-30,,CAN,"5' 9""",186,L,Free Agent,C
8470104,Tom Gilbert,6,1983-01-10,,USA,"6' 2""",210,R,Free Agent,D
8476443,Xavier Ouellet,61,1993-07-29,26,FRA,"6' 1""",208,L,Detroit Red Wings,D
8471677,Jack Johnson,7,1987-01-13,33,USA,"6' 1""",226,L,Columbus Blue Jackets,D
8477715,Tyler Gaudet,45,1993-04-04,27,CAN,"6' 3""",205,L,Arizona Coyotes,C
8476162,Steve Oleksy,43,1986-02-04,34,USA,"6' 0""",190,R,Anaheim Ducks,D
8476394,Michael Paliotta,44,1993-04-06,,USA,"6' 4""",207,R,Free Agent,D
8471245,Dave Bolland,,1986-06-05,33,CAN,"6' 0""",184,R,Arizona Coyotes,C
8477510,Kerby Rychel,,1994-10-07,25,CAN,"6' 1""",213,L,Toronto Maple Leafs,LW
8476877,Jordan Schmaltz,43,1993-10-08,26,USA,"6' 2""",190,R,St. Louis Blues,D
8477831,Pheonix Copley,1,1992-01-18,28,USA,"6' 4""",200,L,Washington Capitals,G
8476478,Stuart Percy,10,1993-05-18,,CAN,"6' 1""",187,L,Free Agent,D
8476062,Mark Arcobello,33,1988-08-12,,USA,"5' 8""",174,R,Free Agent,RW
8473499,Reto Berra,1,1987-01-03,33,CHE,"6' 4""",210,L,Anaheim Ducks,G
8475325,Jordan Nolan,71,1989-06-23,30,CAN,"6' 3""",219,L,Los Angeles Kings,C
8476427,Ty Rattie,8,1993-02-05,27,CAN,"6' 0""",195,R,Edmonton Oilers,RW
8474736,Zac Rinaldo,,1990-06-15,29,CAN,"5' 10""",188,L,Arizona Coyotes,C
8478564,Joonas Kemppainen,41,1988-04-07,,FIN,"6' 3""",223,L,Free Agent,C
8476158,Harry Zolnierczyk,26,1987-09-01,,CAN,"5' 11""",180,L,Free Agent,LW
8476352,Michael Mersch,49,1992-10-02,27,USA,"6' 2""",213,L,Los Angeles Kings,LW
8476915,Jujhar Khaira,16,1994-08-13,25,CAN,"6' 4""",219,L,Edmonton Oilers,LW
8475414,Craig Cunningham,22,1990-09-13,,CAN,"5' 10""",184,R,Free Agent,LW
8478999,Niklas Treutle,60,1991-04-29,,DEU,"6' 2""",185,,Free Agent,G
8476326,Josh Archibald,45,1992-10-06,27,CAN,"5' 10""",176,R,Pittsburgh Penguins,RW
8476894,Brendan Leipsic,13,1994-05-19,25,CAN,"5' 10""",180,L,Vegas Golden Knights,LW
8476934,Brock McGinn,23,1994-02-02,26,CAN,"6' 0""",185,L,Carolina Hurricanes,LW
8475782,Morgan Ellis,78,1992-04-30,,CAN,"6' 1""",211,R,Free Agent,D
8471331,Kevin Porter,12,1986-03-12,34,USA,"5' 11""",191,L,Buffalo Sabres,C
8477504,Josh Morrissey,44,1995-03-28,25,CAN,"6' 0""",195,L,Winnipeg Jets,D
8475797,Jarred Tinordi,24,1992-02-20,28,USA,"6' 6""",230,L,Pittsburgh Penguins,D
8474722,Luke Witkowski,28,1990-04-14,30,USA,"6' 2""",217,R,Detroit Red Wings,RW
8476948,Charles Hudon,54,1994-06-23,25,CAN,"5' 10""",188,L,Montréal Canadiens,LW
8476415,Kyle Rau,37,1992-10-24,27,USA,"5' 8""",178,L,Minnesota Wild,C
8475153,Dylan Olsen,4,1991-01-03,,CAN,"6' 2""",223,L,Free Agent,D
8475844,Kenny Agostino,18,1992-04-30,27,USA,"6' 0""",202,L,Boston Bruins,LW
8478866,Dominik Simon,49,1994-08-08,25,CZE,"5' 11""",176,L,Pittsburgh Penguins,C
8475829,John Ramage,55,1991-02-07,29,CAN,"6' 1""",194,R,Columbus Blue Jackets,D
8475755,Alexander Petrovic,15,1992-03-03,28,CAN,"6' 4""",216,R,Boston Bruins,D
8477244,Chad Ruhwedel,2,1990-05-07,29,USA,"5' 11""",191,R,Pittsburgh Penguins,D
8476953,Trevor Carrick,46,1994-07-04,25,CAN,"6' 2""",186,L,Carolina Hurricanes,D
8476401,Daniel Catenacci,43,1993-03-09,27,CAN,"5' 10""",193,L,New York Rangers,C
8471186,Yann Danis,40,1981-06-21,,CAN,"5' 11""",180,L,Free Agent,G
8476772,Brian O'Neill,18,1988-06-01,,USA,"5' 9""",175,L,Free Agent,RW
8471215,Evgeni Malkin,71,1986-07-31,33,RUS,"6' 3""",195,L,Pittsburgh Penguins,C
8476293,Scott Wilson,23,1992-04-24,27,CAN,"5' 11""",183,L,Pittsburgh Penguins,LW
8477455,Jacob de la Rose,61,1995-05-20,24,SWE,"6' 3""",215,L,St. Louis Blues,LW
8475194,Philip Samuelsson,26,1991-07-26,28,SWE,"6' 2""",194,L,Carolina Hurricanes,D
8476410,Josh Leivo,32,1993-05-26,26,CAN,"6' 2""",205,R,Toronto Maple Leafs,LW
8476414,Alexandre Grenier,28,1991-09-05,28,CAN,"6' 5""",200,R,Florida Panthers,RW
8476452,Tyler Wotherspoon,26,1993-03-12,27,CAN,"6' 2""",207,L,Calgary Flames,D
8476910,Scott Kosmachuk,72,1994-01-24,,CAN,"5' 11""",185,R,Free Agent,RW
8478420,Mikko Rantanen,96,1996-10-29,23,FIN,"6' 4""",211,L,Colorado Avalanche,RW
8475681,Ben Scrivens,40,1986-09-11,,CAN,"6' 2""",181,L,Free Agent,G
8475808,Michael Chaput,45,1992-04-09,28,CAN,"6' 2""",204,L,Vancouver Canucks,C
8475878,Freddie Hamilton,25,1992-01-01,28,CAN,"6' 1""",195,R,Calgary Flames,C
8477903,Garnet Hathaway,64,1991-11-23,28,USA,"6' 2""",208,R,Calgary Flames,RW
8476316,Laurent Brossoit,1,1993-03-23,27,CAN,"6' 3""",204,L,Edmonton Oilers,G
8475809,Scott Wedgewood,31,1992-08-14,27,CAN,"6' 2""",195,L,New Jersey Devils,G
8477326,Joel Vermin,92,1992-02-05,,CHE,"5' 11""",192,L,Free Agent,RW
8474727,Ben Smith,18,1988-07-11,31,USA,"5' 11""",198,R,Toronto Maple Leafs,RW
8476941,Connor Carrick,8,1994-04-13,26,USA,"5' 11""",195,R,Toronto Maple Leafs,D
8477642,Rinat Valiev,,1995-05-11,24,RUS,"6' 2""",208,L,Toronto Maple Leafs,D
8475786,Zach Hyman,11,1992-06-09,27,CAN,"6' 1""",210,R,Toronto Maple Leafs,C
8477015,Connor Brown,12,1994-01-14,26,CAN,"6' 0""",185,R,Toronto Maple Leafs,RW
8478029,Chase De Leo,77,1995-10-25,24,USA,"5' 9""",185,L,Winnipeg Jets,C
8476400,Logan Shaw,48,1992-10-05,27,CAN,"6' 3""",202,R,Anaheim Ducks,C
8476967,Brett Kulak,61,1994-01-06,26,CAN,"6' 2""",187,L,Calgary Flames,D
8478373,Nikita Soshnikov,26,1993-10-14,26,RUS,"5' 11""",190,L,Toronto Maple Leafs,RW
8477033,Viktor Loov,55,1992-11-16,27,SWE,"6' 1""",212,L,New Jersey Devils,D
8475274,Seth Helgeson,,1990-10-08,29,USA,"6' 4""",210,L,New York Islanders,D
8477446,Michael McCarron,34,1995-03-07,25,USA,"6' 6""",230,R,Montréal Canadiens,RW
8477455,Jacob De La Rose,25,1995-05-20,24,SWE,"6' 3""",210,L,Montréal Canadiens,LW
8475980,Brody Sutter,48,1991-09-26,,CAN,"6' 5""",203,R,Free Agent,C
8475206,Stefan Elliott,,1991-01-30,29,CAN,"6' 1""",190,R,Nashville Predators,D
8477486,Emile Poirier,28,1994-12-14,25,CAN,"6' 2""",196,L,Calgary Flames,LW
8475831,Philipp Grubauer,31,1991-11-25,28,DEU,"6' 1""",191,L,Washington Capitals,G
8476495,Seth Griffith,25,1993-01-04,27,CAN,"5' 9""",190,R,Winnipeg Jets,C
8476422,Mike Reilly,4,1993-07-13,26,USA,"6' 2""",193,L,Minnesota Wild,D
8477947,Sonny Milano,22,1996-05-12,23,USA,"6' 2""",197,L,Columbus Blue Jackets,LW
8471733,Rich Clune,25,1987-04-25,,CAN,"5' 10""",207,L,Free Agent,LW
8477566,Sergey Tolchinsky,61,1995-02-03,25,RUS,"5' 8""",170,L,Carolina Hurricanes,LW
8477473,Justin Bailey,95,1995-07-01,24,USA,"6' 3""",214,R,Buffalo Sabres,RW
8476886,Slater Koekkoek,29,1994-02-18,26,CAN,"6' 2""",193,L,Tampa Bay Lightning,D
8473722,John Scott,22,1982-09-26,,CAN,"6' 8""",260,L,Free Agent,LW
8473503,James Reimer,34,1988-03-15,32,CAN,"6' 2""",217,L,Florida Panthers,G
8473523,Jhonas Enroth,31,1988-06-25,,SWE,"5' 10""",175,L,Free Agent,G
8474636,Michael Hutchinson,34,1990-03-02,30,CAN,"6' 3""",202,R,Winnipeg Jets,G
8473607,Michal Neuvirth,30,1988-03-23,32,CZE,"6' 1""",209,L,Philadelphia Flyers,G
8474034,Patrick Maroon,19,1988-04-23,31,USA,"6' 3""",227,L,Edmonton Oilers,LW
8475852,Petr Mrazek,34,1992-02-14,28,CZE,"6' 2""",183,L,Detroit Red Wings,G
8476209,Mike Sislo,,1988-01-20,32,USA,"5' 11""",190,R,Arizona Coyotes,RW
8471750,Ben Bishop,30,1986-11-21,33,USA,"6' 7""",216,L,Dallas Stars,G
8476370,Blake Pietila,56,1993-02-20,27,USA,"5' 11""",200,L,New Jersey Devils,LW
8476234,Keith Kinkaid,1,1989-07-04,30,USA,"6' 3""",195,L,New Jersey Devils,G
8478584,Vojtech Mozik,53,1992-12-26,27,CZE,"6' 3""",200,R,New Jersey Devils,D
8468685,Henrik Lundqvist,30,1982-03-02,38,SWE,"6' 1""",180,L,New York Rangers,G
8471306,Thomas Greiss,1,1986-01-29,34,DEU,"6' 1""",228,L,New York Islanders,G
8473541,Jonathan Bernier,45,1988-08-07,31,CAN,"6' 0""",184,L,Colorado Avalanche,G
8477953,Kasperi Kapanen,,1996-07-23,23,FIN,"5' 11""",180,R,Toronto Maple Leafs,RW
8479292,Charlie Lindgren,39,1993-12-18,26,USA,"6' 1""",182,R,Montréal Canadiens,G
8470320,Cam Ward,30,1984-02-29,36,CAN,"6' 1""",185,L,Carolina Hurricanes,G
8477887,Patrick Brown,36,1992-05-29,27,USA,"6' 1""",210,R,Carolina Hurricanes,C
8471219,Al Montoya,35,1985-02-13,35,USA,"6' 2""",201,L,Montréal Canadiens,G
8467950,Craig Anderson,41,1981-05-21,38,USA,"6' 2""",187,L,Ottawa Senators,G
8474152,Scott Darling,33,1988-12-22,31,USA,"6' 6""",232,L,Carolina Hurricanes,G
8475717,Calvin Pickard,31,1992-04-15,28,CAN,"6' 1""",200,L,Vegas Golden Knights,G
8475310,Curtis McKenzie,11,1991-02-22,29,CAN,"6' 2""",205,L,Dallas Stars,LW
8477450,Jason Dickinson,16,1995-07-04,24,CAN,"6' 2""",205,L,Dallas Stars,C
8470140,Kari Lehtonen,32,1983-11-16,36,FIN,"6' 4""",190,L,Dallas Stars,G
8468011,Ryan Miller,30,1980-07-17,39,USA,"6' 2""",170,L,Anaheim Ducks,G
8475299,Joni Ortio,37,1991-04-16,,FIN,"6' 1""",190,L,Free Agent,G
8475883,Frederik Andersen,31,1989-10-02,30,DNK,"6' 4""",230,L,Toronto Maple Leafs,G
8477416,Oliver Bjorkstrand,28,1995-04-10,25,DNK,"6' 0""",175,R,Columbus Blue Jackets,RW
8476981,Josh Anderson,77,1994-05-07,25,CAN,"6' 3""",221,R,Columbus Blue Jackets,RW
8476309,Jason Kasdorf,33,1992-05-18,27,CAN,"6' 4""",194,L,Buffalo Sabres,G
8476914,Joonas Korpisalo,70,1994-04-28,25,FIN,"6' 3""",190,L,Columbus Blue Jackets,G
8470626,Loui Eriksson,21,1985-07-17,34,SWE,"6' 2""",179,L,Vancouver Canucks,LW
8473419,Brad Marchand,63,1988-05-11,31,CAN,"5' 9""",181,L,Boston Bruins,LW
8471717,Adam McQuaid,54,1986-10-12,,CAN,"6' 4""",210,R,Free Agent,D
8467493,Chris Neil,25,1979-06-18,,CAN,"6' 1""",209,R,Free Agent,RW
8470740,Lee Stempniak,18,1983-02-04,,USA,"5' 11""",195,R,Free Agent,RW
8474625,Jimmy Hayes,11,1989-11-21,,USA,"6' 5""",215,R,Free Agent,RW
8475913,Mark Stone,61,1992-05-13,27,CAN,"6' 3""",202,R,Vegas Golden Knights,RW
8471276,David Krejci,46,1986-04-28,33,CZE,"6' 0""",188,R,Boston Bruins,C
8471676,Bobby Ryan,9,1987-03-17,33,USA,"6' 2""",208,R,Ottawa Senators,RW
8476525,Colin Miller,33,1992-10-29,27,CAN,"6' 1""",193,R,Buffalo Sabres,D
8475321,Phil Varone,44,1990-12-04,29,CAN,"5' 10""",193,L,Pittsburgh Penguins,C
8475163,Alex Chiasson,39,1990-10-01,29,CAN,"6' 4""",208,R,Edmonton Oilers,RW
8475361,Jonas Gustavsson,50,1984-10-24,,SWE,"6' 4""",201,L,Free Agent,G
8470638,Patrice Bergeron,37,1985-07-24,34,CAN,"6' 1""",195,R,Boston Bruins,C
8476419,Jean-Gabriel Pageau,44,1992-11-11,27,CAN,"5' 10""",180,R,New York Islanders,C
8477508,Curtis Lazar,27,1995-02-02,25,CAN,"6' 0""",211,R,Buffalo Sabres,C
8475727,Ryan Spooner,15,1992-01-30,,CAN,"5' 11""",191,L,Free Agent,C
8477426,Nick Paul,13,1995-03-20,25,CAN,"6' 3""",219,L,Ottawa Senators,LW
